,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
136,699000.0,Kazimierza Michalczyka,2,45.37,6,6,Do odświeżenia,True,True,1969.0
137,534664.0,Zielna,3,50.44,1,1,Do odświeżenia,True,False,1969.0
138,521139.0,Nefrytowa,2,43.83,1,2,Do odświeżenia,True,True,1969.0
139,850000.0,Przyjaźni,3,74.0,4,6,Gotowe do wprowadzenia,True,True,1969.0
140,827160.0,Zamkowa,2,45.2,1,24,Do odświeżenia,False,True,1969.0
141,513040.0,Zamkowa,1,27.09,0,6,Do remontu,True,False,1969.0
142,969000.0,Zamkowa,4,74.2,1,6,Do odświeżenia,True,True,1969.0
143,553000.0,Zamkowa,3,45.17,3,4,Do odświeżenia,True,True,1969.0
144,879000.0,gen. Władysława Sikorskiego,2,44.5,10,23,Do remontu,True,True,1969.0
145,490286.0,Nefrytowa,1,39.12,2,2,Do odświeżenia,False,True,1969.0
146,579000.0,Zielna,2,44.0,3,5,Do remontu,True,True,1969.0
147,560000.0,Henryka Sienkiewicza,2,31.5,2,6,Do remontu,True,True,1969.0
148,461509.0,Gajowa,2,43.93,1,2,Do remontu,True,True,1969.0
149,956757.0,gen. Władysława Sikorskiego,2,46.9,8,23,Do odświeżenia,True,False,1969.0
150,780000.0,Gajowa,3,64.0,0,4,Gotowe do wprowadzenia,False,False,1969.0
151,699000.0,Jana Długosza,3,78.93,4,5,Do remontu,False,False,1969.0
152,720000.0,Jodłowicka,3,60.78,0,4,Do remontu,True,True,1969.0
153,686500.0,Klasztorna,2,54.94,2,3,Do odświeżenia,True,True,1969.0
154,495968.0,Zielna,2,42.2,1,2,Do odświeżenia,True,True,1969.0
155,699000.0,Rudzka,3,57.0,0,2,Gotowe do wprowadzenia,False,True,1969.0
156,757000.0,Gajowa,4,71.0,0,2,Do odświeżenia,True,True,1969.0
157,720000.0,Jodłowicka,3,60.78,0,4,Gotowe do wprowadzenia,True,True,1969.0
158,574901.0,Gajowa,2,33.13,7,8,Do remontu,True,True,1969.0
159,657970.0,Zielna,4,68.6,1,2,Do odświeżenia,True,True,1969.0
160,844000.0,Nyska,2,38.2,4,4,Gotowe do wprowadzenia,True,True,1969.0
161,698000.0,Gajowa,3,65.0,4,5,Gotowe do wprowadzenia,True,False,1969.0
162,542727.0,Konińska,2,41.87,1,4,Do odświeżenia,False,True,1969.0
