,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
851,610000.0,Gajowa,2,38.4,2,6,Gotowe do wprowadzenia,True,True,1969
852,558300.0,Boiskowa,4,59.1,1,2,Do odświeżenia,True,True,1969
854,678999.0,Kossaka,2,56.6,1,6,Gotowe do wprowadzenia,True,False,1969
855,750000.0,Birmańska,2,48.48,0,4,Gotowe do wprowadzenia,True,True,1969
856,2444000.0,Długa,5,149.5,5,9,Do odświeżenia,True,True,1969
857,519000.0,Wincentego Stysia,1,36.0,4,4,Gotowe do wprowadzenia,False,False,1969
858,449000.0,Legnicka,2,36.6,7,10,Do remontu,False,True,1969
859,650000.0,Rudzka,2,54.0,4,4,Do remontu,True,False,1969
861,630000.0,Nyska,1,39.0,5,5,Gotowe do wprowadzenia,True,True,1969
862,597365.0,Gajowa,3,64.58,3,3,Do odświeżenia,True,True,1969
864,1135000.0,Antoniego Wiwulskiego,2,71.0,3,3,Gotowe do wprowadzenia,True,True,1969
865,597628.0,Gajowa,3,56.0,0,3,Do odświeżenia,True,True,1969
866,663500.0,Blizanowicka,3,53.0,1,2,Do remontu,True,True,1969
867,950000.0,Bolesława Prusa,3,60.0,4,4,Do remontu,False,False,1969
868,750000.0,Zielna,2,50.0,4,4,Gotowe do wprowadzenia,True,True,1969
869,570000.0,Zielna,3,54.0,1,11,Do remontu,True,True,1969
870,616895.0,Gajowa,3,49.05,4,4,Gotowe do wprowadzenia,False,False,1969
871,551923.0,Lawendowa,3,51.5,2,4,Do remontu,True,True,1969
872,403000.0,Nowowiejska,2,38.0,4,5,Gotowe do wprowadzenia,False,True,1969
873,739000.0,Zielna,3,60.3,2,5,Do odświeżenia,True,True,1969
874,522329.0,Konińska,2,40.91,3,4,Do odświeżenia,False,True,1969
876,785000.0,Kowieńska,3,75.52,1,1,Gotowe do wprowadzenia,True,True,1969
877,869000.0,Graniczna,3,59.61,1,4,Gotowe do wprowadzenia,True,False,1969
